职位名称,地区,薪水,标签,能力要求,公司名字,福利待遇,详情链接,最低薪水,最高薪水,平均薪水,经验要求,学历要求,城市,福利个数
人工智能工程师,北京·海淀区·中关村,20-30K,"1-3年, 硕士","业务导向, 语音/图像识别, C/C++, OpenCV, CNN/RNN/LSTM, 计算机相关专业, 机器学习算法/工程化经验, 深度学习经验, YOLO",空天院,生日福利，绩效奖金，带薪年假，补充医疗保险，节日福利，五险一金，年终奖，加班补助，交通补助，餐补，定期体检,https://www.zhipin.com/job_detail/1c1aa274320027231XF639y-E1FS.html?lid=T9gGlKwCWt.search.91&securityId=u1U2SdF5ooSxV-w1K1l-1S9KgYXeif1bJB4VvwnjVj2AIYhrQZkMA6p_z_UpNf6_XZsbqWQnTOsJlhLwvDd761Wu_B2QPvcAy8_cQubrSKf2uzhcyOQ~&sessionId=,20,30,25,1-3年,硕士,北京,11
人工智能算法专家,北京·通州区·北关,20-40K,"经验不限, 硕士","计算机相关专业, 机器学习算法/工程化经验",互影通,零食下午茶，股票期权，加班补助，全勤奖，年终奖，节日福利，带薪年假，五险一金，补充医疗保险，员工旅游,https://www.zhipin.com/job_detail/51e68c27f03c7ecf1XN_09S1E1NU.html?lid=T9gGlKwCWt.search.92&securityId=RMRKXnrkHHv0j-21ch4-4Pl9V29yJXnXUsEIVYq-ks-xoYIHPhuEC_O7fTuFTPrtkzI7uQRvGx39QuKnE-UHuMInT_r5kfLr2AnqlCJ1bVta4UZBdQ~~&sessionId=,20,40,30,经验不限,硕士,北京,10
人工智能产品经理,北京·大兴区·亦庄,25-50K·16薪,"5-10年, 本科","B端产品, 人工智能产品, 产品经理",沃东天骏信息技术,节日福利，五险一金，带薪年假，加班补助，员工旅游，餐补，股票期权，补充医疗保险，年终奖，全勤奖，免费班车，定期体检,https://www.zhipin.com/job_detail/5cc317fb7f0987301nV52Nq9GFRZ.html?lid=T9gGlKwCWt.search.93&securityId=iNaHsdN8Wb3Mj-e1-g-Hz95QcDBppfpYeI81T3tHaFPQDo7vmWJZu7j2BSd9VEdb8nyYOhicKp67EkzEYGXFvT_hYpaGKLFhB3wK4uuzG7p49ko~&sessionId=,25,50,37.5,5-10年,本科,北京,12
人工智能技术经理,北京·西城区·六铺炕,2-5K,"经验不限, 硕士",音视频编解码,黑油数字,员工旅游，年终奖，生日福利，零食下午茶，五险一金，带薪年假，底薪加提成,https://www.zhipin.com/job_detail/c8251e8f1a671da91XN409q9FlNU.html?lid=T9gGlKwCWt.search.94&securityId=ypEIEavgvHSjB-P1aRSqGk27rZi2LAzpQYPUGf-nn5yQusd5QJ_xWS0EXrI8jK6GRdP4z0JX1jmqp_PlA_WFELfX2yKLY7XQYERKl4Wkd2StOqkIzYc~&sessionId=,2,5,3.5,经验不限,硕士,北京,7
人工智能课程研发,北京,7-12K,"1-3年, 本科",人工智能,北京红亚,年终奖，补充医疗保险，餐补，通讯补贴，定期体检，股票期权，带薪年假，节日福利，五险一金,https://www.zhipin.com/job_detail/7c221ab92a2b3ddf1nB_29W-E1BQ.html?lid=T9gGlKwCWt.search.95&securityId=RY5JQTJ3PY0Pi-O1qx4dQeQbGptx-9d9RnKaKVJJosNIlgcUOPJ0nN7jHUuWzcjGJvnlNJYs5d73xenSEsl9thMHYzNG1kjHPt3H71rE-mKQu7TZ&sessionId=,7,12,9.5,1-3年,本科,北京,9
人工智能标注工程师,北京·通州区·次渠,4-6K,"1-3年, 大专","数据标注, 文本标注, 语音标注, 标注质检, 内容审核",无忧创新,,https://www.zhipin.com/job_detail/61453f0047f01d523nd-2Nm8GVM~.html?lid=T9gGlKwCWt.search.96&securityId=hhbnxUztqbBTR-s1RmPPRbC9T37dVcwkQI7C-uH_unm-Yr5EwDpgbLaCqNXQ6Z9oZULO130WzfUoj1f-jn0HNBKCLRuqxlSlD2MMXJz51zqiFRYccA~~&sessionId=,4,6,5,1-3年,大专,北京,1
人工智能训练师,北京,4-9K,"经验不限, 大专","计算机相关专业, 机器学习算法/工程化经验",畅享飞,,https://www.zhipin.com/job_detail/c64f10262794921c1X160tq6ElVX.html?lid=T9gGlKwCWt.search.97&securityId=vVNqUBWxXk1jK-S1Zm7pXkC3DBAWH91AWXahL-VPA_yOUIp9oWBkvbGC3hCxFihRGzOG4csrv9MT4QPTRLXwWja2l7kOyqv6WsNgul8SdD5YlEQwJt9a&sessionId=,4,9,6.5,经验不限,大专,北京,1
人工智能算法专家,北京·海淀区·上地,30-60K,"3-5年, 硕士","数学/统计相关专业, 深度学习经验, 能源预测, 电价预测",清能互联科技,五险一金，餐补，年终奖，节日福利，带薪年假，定期体检，通讯补贴，股票期权，零食下午茶,https://www.zhipin.com/job_detail/5d5d77fd0ad34c2c1XFz3NS5FlJY.html?lid=T9gGlKwCWt.search.98&securityId=JL2oQZlpzdhWV-J18NxZC1dw-17cqg9f6JQstOgw0W3PJAwxVoKRu6QoHFfpeHijckhJafDpeuNVkjAmxtkxOfGEnsBkxxQFO7gmRzTcdF1DHrANmk7J6QyGbmCrsEWUe-sHIBPbIXIUNUy1owQv&sessionId=,30,60,45,3-5年,硕士,北京,9
人工智能团队主管,北京·东城区·广渠门,30-50K,"5-10年, 本科","深度学习算法, 自然语言处理, 视觉图像算法, 图像识别, 知识图谱, Python, 人工智能",东方金信,节日福利，定期体检，五险一金，餐补，通讯补贴，零食下午茶，年终奖，交通补助，带薪年假，海外旅游,https://www.zhipin.com/job_detail/5eea45f372ae01b90XNy3tS9GVI~.html?lid=T9gGlKwCWt.search.99&securityId=0w-odZNrGg67G-e1yBu-yFkCRq55CY2qH4WbfE0wvxTiJFbkfW5Ja691iXosMFEd76GLTgRFlhYxKc47ku-iAKa8QipLiI-kMUC90NiMY_YF6pvU8bvLq4quxLl31k793UrPp6Fy3ihGz7_6XN1ZUw~~&sessionId=,30,50,40,5-10年,本科,北京,10
人工智能产品经理,北京·丰台区·总部基地,13-25K,"3-5年, 本科",智能穿戴,星宠王国,,https://www.zhipin.com/job_detail/6c659d6d12d5e6b71XF929y0F1ZQ.html?lid=T9gGlKwCWt.search.100&securityId=RuUG5vmJlgAio-E13P8uqGEfYmigsg6i6ammeZ8D_7UN9kwoELHnO8SLavXUxm2s-uACjkXTAgplIRuvH9H4SrW731O7hK83XsCej8Rg6a_D3EZQuZUH&sessionId=,13,25,19,3-5年,本科,北京,1
